"For All Companies As of Sep 02, 2025 For All Alberta ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Reporting Facility ID,,Facility Subtype,,Surface Location,Location Latitude,Location Longitude,Facility Name,Field or Area,Operator Code,Operator Name,Licence Number,Licence Status,Licence Status Date,Licensee  BA Code,Licensee Name,Licence EDCT,Licence Issue Date,Most Recent Licence Amendment Date,Plant Processes,Raw Gas E3m3/d,Rec Sales Gas E3m3/d,C2 m3/d,C2 Mix m3/d,C3 m3/d,C4 m3/d,LPG Mix m3/d,C5+ m3/d,Sulphur Inlet t/d,Sulphur Recovered t/d,,Max Sulphur Emission Rate t/d,Qtrly Approved Sulphur Rec Eff %,First Volumetric Activity Date,Last Volumetric Activity Date
ABGP0001045,,Gp Sulphur Rcvry,,/04-17-047-27W4,53.046899,-113.917115,IMPERIAL BONNIE GLEN,BONNIE GLEN,0007,Imperial Oil Resources Limited,F10153    ,Amended,24-Oct-06,0007,Imperial Oil Resources Limited,D400,2-Mar-01,24-Nov-07,"Regenerative, Acid Gas Injection","7,323.00",6368,3062,0,1970,1135,0,1120,10,,,0,89.7,1-Jan-91,1-Jul-11
ABGP0001046,,Gp Acid Gas Flaring%,,00/01-28-049-10W5,53.25165,-115.39132,* IMPERIAL PEMBINA,PEMBINA,A5BE,Whitecap Resources Inc.,F22703    ,Issued,22-Mar-01,A5BE,Whitecap Resources Inc.,D400,22-Mar-01,,,224,,,,,,,,3.5,,,,,,
ABGP0001047,,Gp Sulphur Rcvry,,00/10-05-046-06W5,52.938699,-114.829651,KEYERA MINNEHIK-BUCK LAKE 10-05,PEMBINA,A0C0,Keyera Energy Ltd.,F9931     ,Amended,23-Mar-18,A0C0,Keyera Energy Ltd.,E600,6-Mar-01,23-Mar-18,"Regenerative, Acid Gas Sulphur Recovery, Acid Gas Flaring, Claus Process","4,495.00",4065,,,,,752,360.5,49.17,47,,2.18,95.6,1-Jan-91,1-Jun-25
ABGP0001048,,Gp Acid Gas Flaring,,00/01-18-001-08W4,49.03124,-111.053354,ALTANA BLACK BUTTE,ADEN,A1GR,Pine Cliff Energy Ltd.,F21810    ,Amended,25-Aug-09,A1GR,Pine Cliff Energy Ltd.,C300,6-Mar-01,25-Aug-09,"Regenerative, Acid Gas Flaring",150,140,,,,,,,0.5,,,0.5,,1-Jan-91,1-Jul-25
ABGP0001049,,Gas Plant Sweet,,00/05-17-027-19W4,51.305631,-112.650923,WAYNE DALUM 5-17-27-19w4,WAYNE-ROSEDALE,0HE9,Canadian Natural Resources Limited,F3699     ,Amended,13-Aug-03,A7NW,Torxen Energy Ltd.,B010,6-Mar-01,26-Aug-06,,"1,200.00",1135,0,0,0,0,105,0,0,0,,,,1-Jan-91,1-Jul-25
ABGP0001050,,Gp Sulphur Rcvry,,/10-02-026-29W4,51.194353,-113.941093,WASCANA CROSSFIELD,CROSSFIELD,A6LC,CNOOC Petroleum North America ULC,F3645     ,Amended,28-Jun-07,A6LC,CNOOC Petroleum North America ULC,E600,6-Mar-01,28-Jun-07,"Regenerative, Acid Gas Sulphur Recovery, Acid Gas Flaring, Claus Process, Sulfreen Process","8,988.00",6080,0,0,388,410,387,702,1730.5,1696,,34.5,98,1-Jan-91,1-Nov-14
ABGP0001051,,Gp Sulphur Rcvry,,00/01-11-008-05W5,49.627872,-114.568712,DEVON SAVANNA CREEK,UNDEFINED,0HE9,Canadian Natural Resources Limited,F287      ,Amended,30-Oct-08,0HE9,Canadian Natural Resources Limited,E600,12-Feb-01,30-Oct-08,"Regenerative, Acid Gas Sulphur Recovery, Acid Gas Flaring, Claus Process, Superclaus Process","2,811.00",2042,0,0,0,0,0,7,800,789.4,,10.6,98.6,1-Jan-91,1-Jun-21
ABGP0001052,,Gas Plant Sweet,,/07-23-033-16W4,,,HUSKY FARRELL EXP CHAIN 7-23,CHAIN,A5D4,Cenovus Energy Inc.,,,,,,,,,,,,,,,,,,,,,,,,
ABGP0001053,,Gas Plant Sweet,,/05-06-028-02W4,51.364337,-110.285609,MERIT SIBBALD,SIBBALD,A0A7,NuVista Energy Ltd.,F3757     ,Amended,13-May-10,A0A7,NuVista Energy Ltd.,B020,1-May-01,13-May-10,,141.6,,,,,,,,0,,,,,1-Jan-91,1-Mar-00
ABGP0001054,,Gp Sulphur Rcvry,,00/06-16-026-05W5,51.219511,-114.646656,D Energy Wildcat Hills 6-16-26-5W5,JUMPING POUND,A68P,Canlin Resources Partnership,F3653     ,Amended,29-Mar-17,A7M1,Canlin Energy Corporation,E600,6-Mar-01,29-Mar-17,"Regenerative, Acid Gas Sulphur Recovery, Acid Gas Flaring, MCRC Process","3,522.00",3522,,,,,,,287.5,287,,4.9,98.3,1-Jan-91,1-Jul-25
